改造にあたって、Data Crystalの資料を参照しています。
byte0-1 -> シャッターの一番上の16x16チップの右上8x8タイルに対応するネームテーブルのアドレス(ビッグエンディアン)
byte2   -> 32x32チップ単位でのシャッター画像で埋めるチップの位置
byte3   -> byte2で指定した32x32チップの左上、右上、左下、右下のどこから埋めるかを指定(0,1,2,3)
byte4   -> シャッター画像の16x16チップ番号


◇シャッターを閉じない部屋
ビッグペッツ・サークリングQ9のボス部屋などシャッターを閉じない部屋番号を指定する。
$3D311-3D320 (10) = ステージ番号: シャッターを閉じない部屋番号


以下、シャッターの設置位置(高さ)に対応する値(毎回計算するのが面倒なので書いておきます)
	シャッター開	シャッター閉
設置位置(上～下)	byte0-1	byte2	byte3	byte0-1	byte2	byte3
0～2	209E	0F	01	2001	00	00
1～3	20DE	0F	03	2041	00	02
2～4	211E	17	01	2081	08	00
3～5	215E	17	03	20C1	08	02
4～6	219E	1F	01	2101	10	00
5～7	21DE	1F	03	2141	10	02
6～8	221E	27	01	2181	18	00
7～9	225E	27	03	21C1	18	02
8～A	229E	2F	01	2201	20	00
9～B	22DE	2F	03	2241	20	02
A～C	231E	37	01	2281	28	00
B～D	235E	37	03	22C1	28	02
C～E	239E	3F	01	2301	30	00

0 目　□　□　□　□　□　□　□　□　□　□　□　□
1 目　目　□　□　□　□　□　□　□　□　□　□　□
2 目　目　目　□　□　□　□　□　□　□　□　□　□
3 □　目　目　目　□　□　□　□　□　□　□　□　□
4 □　□　目　目　目　□　□　□　□　□　□　□　□
5 □　□　□　目　目　目　□　□　□　□　□　□　□
6 □　□　□　□　目　目　目　□　□　□　□　□　□
7 □　□　□　□　□　目　目　目　□　□　□　□　□
8 □　□　□　□　□　□　目　目　目　□　□　□　□
9 □　□　□　□　□　□　□　目　目　目　□　□　□
A □　□　□　□　□　□　□　□　目　目　目　□　□
B □　□　□　□　□　□　□　□　□　目　目　目　□
C □　□　□　□　□　□　□　□　□　□　目　目　目
D □　□　□　□　□　□　□　□　□　□　□　目　目
E □　□　□　□　□　□　□　□　□　□　□　□　目

-------------------------------------------------------------------------

BGパレットアニメーション・BGアニメーションに関する記述です。

◇BGパレットアニメ
$3DC36～3DD10 パレットの定義
3bytesで1組のデータ(73個分のデータ、ただし最初の1個(インデックス0)は読まれないので実質72個)。

byte0-2 -> パレット(透明色は省略)


$3DD31～3DDC5 パレットアニメ定義
可変長のデータ。パレットアニメに使うパレットの総数、次のパレットに切り替わるまでのフレーム数、パレット定義番号と続く。

byte0  -> パレットアニメに使うパレットの総数(00で1個を表すため、実際の個数より1小さい値を指定する)
byte1  -> 次のパレットに切り替わるまでのフレーム数(00で毎フレーム切り替え)
byte2- -> パレット定義番号(byte0で指定した個数分書く。00を指定すると、そこでパレットアニメを終了させる)


$3DD11～3DD30 (20) = BGパレットアニメーション番号: $3DD31を基点としたパレットアニメ定義への1byte相対アドレス


◇BGアニメ(BGバンク切り替えによるアニメーション)
$3DDCB～3DDF7 BGアニメ定義
可変長のデータ。アニメーションに使うBGの総数、次のBGに切り替わるまでのフレーム数、
アニメーションさせるBGバンク指定、BGバンク番号と続く。

byte0  -> アニメーションに使うBGの総数(00で1個を表すため、実際の個数より1小さい値を指定する)
byte1  -> 次のBGに切り替わるまでのフレーム数(00で毎フレーム切り替え)
byte2  -> アニメーションさせるBGバンク指定(00 or 01)
byte3- -> BGバンク番号

$3DDC3～3DDCA (8) = BGアニメーション番号: $3DDCBを基点としたBGアニメ定義への1byte相対アドレス


◇グラビティーマンステージのBGアニメ
$3DF5F-3DF62 BGバンク番号
$3DF63-3DF5D (B) = スクロール番号 : BGアニメタイプ
                   00 -> 普通のアニメーション
                   FF -> 画面のスクロール度合いに依存

------------------------------------------------------------------------

スプライトを用いたグラフィックやアニメーションの定義を行っています。

◇スプライトデータバンク
スプライトデータバンク0 -> BANK12-13 $24010～2800F
スプライトデータバンク1 -> BANK14-15 $28010～2C00F
スプライトデータバンク2 -> BANK16    $2C010～2E00F


以下は、スプライトデータバンク0の場合について記述する(バンク1,2も同様)。

◇スプライトパターン定義アドレス
定義アドレス0
$24010～2410F (100) = スプライトパターン定義番号: スプライトパターン定義アドレス(low)
$24210～2430F (100) = スプライトパターン定義番号: スプライトパターン定義アドレス(high)
定義アドレス1
$24110～2420F (100) = スプライトパターン定義番号: スプライトパターン定義アドレス(low)
$24310～2440F (100) = スプライトパターン定義番号: スプライトパターン定義アドレス(high)


◇スプライトパターン定義
スプライト(8x8タイル)をどのように組み合わせてグラフィックを構成するかを決定する。

byte0 -> スプライトバンク番号
byte1 -> 使用するスプライト(8x8タイル)の総数(00で1個を表すため、実際の個数より1小さい値を入れる)
byte2 -> スプライト配置データ参照番号(下記参照)
byte3 -> 1個目のパターンインデックス番号(bit7-6 -> スプライトバンクのパターンテーブルへの読み込み位置に使われる)
byte4 -> 1個目のスプライトの属性(bit7 -> 上下反転, bit6 -> 左右反転, bit1-0 -> 使用パレット)

byte5 -> 2個目のパターンインデックス番号
byte6 -> 2個目のスプライトの属性
…


◇スプライト配置データのアドレス
$24410～2450F (100) = スプライト配置データ参照番号: スプライト配置データのアドレス(low)
$24510～2460F (100) = スプライト配置データ参照番号: スプライト配置データのアドレス(high)

◇スプライト配置データ
スプライトをどのように配置してグラフィックを構成するかを決定する。

byte0 -> 1個目のスプライトの(相対)Y座標
byte1 -> 1個目のスプライトの(相対)X座標

byte2 -> 2個目のスプライトの(相対)Y座標
byte3 -> 2個目のスプライトの(相対)X座標
…


◇アニメーション定義へのアドレス
$24610～2470F (100) = アニメーション番号: アニメーション定義アドレス(low)
$24710～2480F (100) = アニメーション番号: アニメーション定義アドレス(high) (*)

(*)実際には、BANK12では$247E0～、BANK14では$287C0～、BANK16では$2C730～
   スプライト配置データがあるようなので、そのまま256個分アドレスを置くことはできない(?)

◇アニメーション定義
スプライトパターンを切り替えていくことでアニメーションを表現する。

byte0  -> bit7   -> 0ならスプライトパターン定義アドレス0を参照、1なら定義アドレス1を参照する。
          bit6-0 -> アニメーションに使うスプライトパターンの総数(00で1個を表すため、実際の個数より1小さい値を入れる)
byte1  -> 次のスプライトパターンに切り替わるまでのフレーム数(00で毎フレーム切り替え)
byte2- -> スプライトパターン定義番号(byte0で指定した個数分書く)
          00を指定すると、そこでアニメーションを終了し、オブジェクトを消去する。
          ブーンブロックや敵撃破時の爆発が勝手に消えるのは、ここで00が設定されているため。

-----------------------------------------------------------------------

ンク毎の未使用(と思われる)領域です。プログラムの追加などに活用できると思います。
明らかにプログラムではない範囲に、GNESのデバッガでreadされないか確かめただけなので
間違っていたらゴメンナサイ。

調べたものだけ。

・BANK 00 ($8000-9FFFにマップ)
$83A1～87FF (ROM内アドレス $3B1-80F)

・BANK 06 ($A000-BFFFにマップ)
$A64A～A7FF (ROM内アドレス $C65A-C80F)

・BANK 07 ($A000-BFFFにマップ)
$A60B～A7FF (ROM内アドレス $E61B-E80F)

・BANK 08 ($A000-BFFFにマップ)
$A4E8～A7FF (ROM内アドレス $104F8-1080F)

・BANK 0A ($A000-BFFFにマップ)
$A6D2～A7FF (ROM内アドレス $146E2-1480F)

・BANK 0F (エンディングテキスト,シーンバンク)
$1E589～1E90F

・BANK 10 (シーンバンク)
$20010～2090F

・BANK 11 (シーンバンク)
$22010～22D0F

・BANK 12-13 (スプライトデータバンク0)
・BANK 14-15 (スプライトデータバンク1)
・BANK 16 (スプライトデータバンク2)

・BANK 18-1A (サウンドバンク)

・BANK 1B ($8000-9FFFにマップ)
$9E70～9FFF (ROM内アドレス $37E80-3800F)

・BANK 1C ($8000-9FFFにマップ)
$9F0B～9FFF (ROM内アドレス $39F1B-3A00F)

・BANK 1D ($A000-BFFFにマップ)
$BB4F～BFFF (ROM内アドレス $3BB5F-3C00F)

・BANK 1E-1F ($C000-FFFFにマップ)
$E4A6～E6C6 (ROM内アドレス $3E4B6-3E6D6, デバッグ用コード領域)
$F53E～FDFF (ROM内アドレス $3F54E-3FE0F)

---------------------------------------------------------------------

音楽・効果音関係(間違ってたらゴメンナサイ)


サウンドバンク(NESヘッダ$10バイトを含む)
ロックマン3 : BANK16,17,18($2C010～$3100F, BANK18は前半部分のみ)
ロックマン4 : BANK1E,1F,1D($3C010～$4000F, $3A010～$3C00F, 順序に注意)
ロックマン5 : BANK18,19,1A($30010～$3600F)
ロックマン6 : BANK34,35,36($68010～$6E00F)

以下,サウンドバンクの先頭からのオフセット
$A40 トラック数
$A41～A42 モジュレーション定義の先頭アドレス(ビッグエンディアン)
$A43～ 各トラックの開始アドレス、1トラックあたり2バイト(ビッグエンディアン)

ROM内でのアドレス = サウンドバンク先頭アドレス + (トラックの開始アドレス - $8000)(ロックマン4を除く)




音楽トラック
00で始まり、SQ1,SQ2,TRI,NOIの先頭アドレス(それぞれ2バイト,ビッグエンディアン)が続く。


◆音符データ
ほぼロックマン2と同じ(Y0に20が追加されている)
Y0(20,40,60,80,A0,C0,E0) + XX(00～1F)
Yで音符の長さ(20 -> 40 -> 60 -> … の順に2倍ずつ長くなる)
XXで音の高さ。
XX=00で休符。
0A,0B命令で変更しなければXX = 01がド, 02がド#, 03がレ,…(でいいと思う)
(ノイズはXX=01～10でノイズの種類(00で休符), 値によって出る音がロックマン2とは逆？)

・音長カウンタ(次の音符までの時間)に入る値

音符の長さ  20 40 60 80 A0 C0 E0
---------------------------------
00命令時    02 04 08 10 20 40 80 (テーブル)
通常時      03 06 0C 18 30 60 C0 (テーブル)
02命令時    04 09 12 24 48 90 20 (通常時 + (通常時 >> 1) の値が入る。1byteで管理しているため長さE0を1.5倍すると20になってしまう)


・音長カウンタ(音を鳴らす時間)に入る値

音長カウンタ(次の音符までの時間)の値 * 歯切れの良さ(06命令で指定)の値 / 256
ただし、結果が0になった場合は01が入る。


・1フレーム毎の音長カウンタの減少値

(テンポの値 + 前フレームまで加算してきたテンポの合計(下位8bit)) / 256

例えば、テンポの値(05命令で指定)が$0140ならば、
$0140 + $00 = $0140 -> 下位8bit=$40, 音長カウンタから引く値=1 
$0140 + $40 = $0180 ->          $80,                        1
$0140 + $80 = $01C0 ->          $C0,                        1
$0140 + $C0 = $0200 ->          $00,                        2
$0140 + $00 = $0140 ->          $40,                        1 
 ・
 ・
 ・
のようになる。
音長カウンタ(音を鳴らす時間)が0以下になると、音のフェードアウトが始まる。
音長カウンタ(次の音符までの時間)が0以下になると、次の音符の処理を行う。


◆命令表
00 … 00～00の範囲の音の長さを少し短くする(2/3) (トグル)(*)
01 … 01～01の範囲(とその次の音)をタイでつなぐ？(例えば、01 A1 01 A1なら2個のA1がつながれる) (トグル)(*)
02 … 次の音の長さを1.5倍にする
03 … 03～03の範囲を2オクターブ上げる (トグル)(*)

04 XX ジャンプ命令の飛び先にやたらに置かれている(トグル命令をまたいでジャンプしなければ置かなくても実害無し？)
   +08 -> 03命令を開始・継続する効果(加算しなければ03命令を終了)
   +20 -> 00命令を開始・継続する効果(加算しなければ00命令を終了)
   +40 -> 01命令を開始・継続する効果(加算しなければ01命令を終了)
   XX = 00で全トグル命令終了

(*)トグル命令00,01,03は、実行の度に効果のON・OFFが切り替わる。
   04命令は各トグル命令のON・OFFを強制的に設定できる。

05 XX YY … 全体のテンポの設定(ビッグエンディアン, 大きい程速い。SQ1に置く)
06 XX … 歯切れのよさ(クオンタイズ？)
07 XX … チャンネルの最大音量(TRIは設定不可)
08 XX … モジュレーション定義読み込み(読み込まないと音が出ないので全チャンネル必須)
09 XX … オクターブ指定(00～07)
0A XX … トラックの基本となるキーの高さ(符号付き1バイト整数, SQ1に置く)
0B XX … そのチャンネルの基本となるキーの高さ(符号付き1バイト整数)
0C XX … ピッチの調節(符号付き1バイト整数, 負数だと高くなり、正数だと低くなる)
0D XX … 直前の音の高さから今鳴らすべき音の高さの方向にピッチが変わっていく？(ピッチベンド？00で無効)

0E ZZ XX YY … アドレスXXYYへジャンプ(ZZ回ループ、0だとループしない)(*)
0F ZZ XX YY … 〃
10 ZZ XX YY … 〃
11 ZZ XX YY … 〃

(*)参照するループカウンタが各チャンネル・命令毎に異なるので、多重ループを実現できる。

12 ZZ XX YY … 命令0Eのループカウンタが1になっていればアドレスXXYYへジャンプ(ジャンプの際に命令"04 ZZ"を実行し、トグル命令のON・OFFを設定する)(*)
13 ZZ XX YY … 〃  0F
14 ZZ XX YY … 〃  10
15 ZZ XX YY … 〃  11
16 XX YY … アドレスXXYYへジャンプ(主に曲の無限ループに使われている)  
17 … 終了命令(チャンネル毎に置き忘れないように)
18 XX … 音色指定(00,40,80,C0) (ロックマン2と違いこの命令でノイズの指定はできない？ノイズの音色はモジュレーション定義で指定)

(*)命令0E～11のジャンプ条件が満たされない場合にジャンプする。
  例えば、

L1:
 ・
 ・
 ・
0E 03 L1

  の場合、命令0Eでのジャンプは3回となり、ラベルL1～命令0E間は計4回繰り返されることになる。
  ここで、命令12を途中に挟むと、

L1:
 ・
 ・
12 00 L2
 ・
 ・
0E 03 L1
L2:

  4回目の繰り返しの途中で命令12を通った時に、ラベルL2にジャンプすることになる。



◆モジュレーション定義(なんかモジュレーション以外もいろいろ定義してる気がしますが)
8バイトで1個のデータ

byte0 … 音のフェードインの速さ(1Fで最初から最大)(00～1F)
byte1 … 最大音量になった後、最小音量に向かう速さ(ただし、00を指定すると即座に最小音量になる)(00～1F)
byte2 … 最小音量(X0の形)(0～F)
byte3 … 音のフェードアウトの速さ(音長カウンタ(音を鳴らす時間)が0以下になった時がフェードアウト開始。1Fで即座に音量0まで下がる)(00～1F)


byte4 … ピッチ・音量の変化の速さ(大きい程単位時間当たりの変位回数が増える)
         bit7   -> 1音毎に変化周期カウンタをリセットするか
         bit6-0 -> 変化周期カウンタに加算する値

byte5 … ピッチの最大変位(00～7F)
byte6 … 音量の最大変位(00～7F)

byte7 … ノイズの音色指定(00 or 80)


効果音
先頭バイトは効果音上書き優先順位。
それ以降は、
[制御命令] [使用するチャンネル分だけ出力命令] [制御命令] … と続く。


◆制御命令

00 XX YY … XX -> 次の音までの時間
            YY -> 使用チャンネル(+01 -> 矩形波1 +02 -> 矩形波2 +04 -> 三角波 +08 -> ノイズ)

01 ZZ XX YY WW VV … $XXYYにジャンプ(ZZ回繰り返し,ZZ=$00なら無限回。その後,制御命令"00 WW VV"を実行)

02 XX YY ZZ … XX -> 歯切れの良さ(クオンタイズ？)
               YY -> 次の音までの時間
               ZZ -> 使用チャンネル(+01 -> 矩形波1 +02 -> 矩形波2 +04 -> 三角波 +08 -> ノイズ)

03 ZZ XX YY WW VV UU … $XXYYにジャンプ(ZZ回繰り返し,ZZ=$00なら無限回。その後,制御命令"02 WW VV UU"を実行)

06 XX YY ZZ WW … XX -> 歯切れの良さ
                  YY -> 全トラックの基本となるキーの高さ
                  ZZ -> 次の音までの時間
                  WW -> 使用チャンネル(+01 -> 矩形波1 +02 -> 矩形波2 +04 -> 三角波 +08 -> ノイズ)

FF … 終了


◆出力命令
[オペランドの指定(1バイト)] [オペランド(可変長)] [音の高さ(1バイト)]の構成。

オペランドの指定
000X XXXX
   | ||||
   | |||+--- モジュレーション定義呼び出し(音楽トラックと同じ)
   | ||+---- 音色指定(00,40,80,C0)
   | |+----- 音量(00～0F)
   | +------ ピッチエンベロープ(最上位bitが符号で下位7bitは絶対値？負数だと高くなり、正数だと低くなる)
   +-------- ピッチ調節

オペランドの並び順は下位bitのものから。設定し直す必要のない項目は省略可能。
音の高さは80～FFを指定することで新しく値を設定し直さない(前の音の終わりの状態を引き継ぐ)。

------------------------------------------------------
過去の痕跡

00 XX … XX -> 音の高さ

01 XX YY … XX -> モジュレーション定義呼び出し
            YY -> 音の高さ

02 XX YY

03 ????? (未使用)

04 XX YY … XX -> 音量
            YY -> 音の高さ

05 XX YY ZZ … XX -> モジュレーション定義呼び出し
               YY -> 音量
               ZZ -> 音の高さ

06 XX YY ZZ
07 XX YY ZZ WW

08 XX YY … XX -> ピッチエンベロープ
            YY -> 音の高さ

09 XX YY ZZ

0A ????? (未使用)

0B XX YY ZZ WW

0C XX YY ZZ

0D XX YY ZZ WW … XX -> モジュレーション定義呼び出し
                  YY -> 音量
                  ZZ -> ピッチエンベロープ？
                  WW -> 音の高さ

0E ????? (未使用)
0F XX YY ZZ WW VV … XX -> モジュレーション定義呼び出し
                     YY -> 音色指定($00,$40,$80,$C0)
                     ZZ -> 音量($00～$0F？)
                     WW -> ピッチエンベロープ？正の値なら音が低くなり負の値なら高くなる(00で変化なし)
                     VV -> 音の高さ

10 XX YY
11 ?????? (未使用)
12 ?????? (未使用)
13 ?????? (未使用)
14 XX YY ZZ
15 XX YY ZZ WW
16 ?????? (未使用)
17 XX YY ZZ WW VV
18 XX YY ZZ
19 XX YY ZZ WW
1A ?????? (未使用)
1B ?????? (未使用)
1C ?????? (未使用)
1D XX YY ZZ WW VV
1E ??????
1F XX YY ZZ WW VV UU … XX -> モジュレーション定義呼び出し
                        YY -> 音色指定
                        ZZ -> 音量
                        WW -> ピッチエンベロープ
                        VV -> ピッチ
                        UU -> 音の高さ

------------------------------------------------------



資料作成にあたって、ゲイムのお部屋さまの音楽関係資料が大変参考になりました。
貴重な資料の公開に感謝します。

---------------------------------------------------------------------------

オブジェクトの状態を管理するメモリのデータです。

オブジェクトメモリは、オブジェクトの状態を管理するメモリ領域でありRAMの$300～5CFを指す。
各項目毎に$00～17の24個分の領域が用意されている。
このうちインデックス0はロックマンの状態が入っており、$01～07は特殊武器等に使われる。
通常のオブジェクトに対しては$08～17を使用する。

以下、Data Crystalの RAM mapを元にした項目リスト。

0300-0317 ObjectID

0318-032F X座標(fraction(小数部))
0330-0347 X座標(low)
0348-035F X座標(high) (部屋番号を表す)

0360-0377 Y座標(fraction(小数部))
0378-038F Y座標(low)
0390-03A7 Y座標(high) (*)
 (*)これは上下にスクロールすると増減するものではなく、ジャンプなどでロックマン等のオブジェクトが画面外へ
    出たような場合の判定のために使われている。

03A8-03BF X方向速度(low)
03C0-03D7 X方向速度(high)
03D8-03EF Y方向速度(low)
03F0-0407 Y方向速度(high)
 ここに値を設定しただけではオブジェクトは移動しない。
 通常、移動用のサブルーチンを呼び出すことで移動を行う。
 移動用のサブルーチンでは、速度のlow,highはそれぞれ座標のfraction,lowに加減算される。

0408-041F Type Bits
　bit7 -> ロックマンに対して当たり判定あり(そのオブジェクトに触れるとダメージを受ける)
　bit6 -> 武器に対して当たり判定あり
　bit5-0 -> 当たり判定の大きさ(参照番号、$00～3F)

0420-0437 方向
　bit3 -> 上
　bit2 -> 下
　bit1 -> 左
　bit0 -> 右


0438-044F Sprite Number(設置型オブジェクトの場合、自身が何番目の設置型オブジェクトかが格納される)

0450-0467 HP

0468-047F 変数A
0480-0497 変数B
0498-04AF 変数C
04B0-04C7 変数D
04C8-04DF 変数E
04E0-04F7 変数F
04F8-050F 変数G
0510-0527 変数H(設置型オブジェクトの場合、自身のEnemyIDが格納されている)
 これらの領域を使用することでオブジェクト固有の情報を格納しておくことが可能。

0528-053F Display flags
　bit7 -> ？
　bit6 -> グラフィックを上下反転させる
　bit5 -> グラフィックを左右反転させる
　bit4 -> 背景に隠れる
　bit3 -> 画面外に出たときそのオブジェクトを破壊しない
　bit2 -> 不可視
　bit1 -> ブロックになる
　bit0 -> 足場になる

0540-0557 アニメーションフレーム
0558-056F アニメーション番号
0570-0587 アニメーションタイマー

0588-059F Enemy Handler(low)
05A0-05B7 Enemy Handler(high)

05B8-05CF Flash Counter(点滅時間)

-----------------------------------------------------------------------------------

各オブジェクトの動作やグラフィックに関係のあるテーブルです。

・$386D3～387D2 (100) = ObjectID: Enemy Handler呼び出し時に$A000～BFFFにマップするバンク
Enemy Handler(オブジェクトの動作を定義したルーチンのアドレス)を呼び出し時に、
ここで指定した番号のバンクが$A000～BFFFにマップされる。
なお、Enemy Handler呼び出し時に$8000～9FFFにはバンク1Cがマップされている。


・$387D3～388D2 (100) = ObjectID: オブジェクト撃破時の演出指定(ObjectIDで指定)
オブジェクトを撃破した時、そのオブジェクトのObjectIDはここで指定した番号に変更される。
ただし、00を指定した場合は通常の爆発エフェクトとなる。
主にボス撃破の演出に使われている。


・$388D3～389A2 (D0) = ObjectID: デフォルトのEnemy Handler(low)
・$389A3～38A72 (D0) = ObjectID: デフォルトのEnemy Handler(high)
Enemy Handlerとはオブジェクトの動作を定義したルーチンのアドレスを指す。
オブジェクトメモリ内のEnemy Handler(high)の値が$80未満の場合、
無効なアドレスと判断され、このテーブルの値がオブジェクトのEnemy Handlerにセットされる。


・$3E34B～3E44A (100) = ObjectID: 参照するスプライトデータバンク(12,14,16)
オブジェクトのグラフィックに深く関係する。
たとえアニメーション番号が同じでも、参照するバンクが異なればグラフィックは当然違ったものになる。

-----------------------------------------------------------------

オブジェクトの動作等を記述するためによく使われるサブルーチンです。
改造時のメモを見ながら書いているので、細かい処理内容が抜けていたり間違っている可能性 もあります。
オブジェクトX,オブジェクトYという表記は、 それぞれX,Yレジスタにインデックスが格納されているオブジェクトのことを指します。
ここからBANK1Cのサブルーチン
jsr $84FC	オブジェクトXのグラフィックの向きを変えずにX,Y方向へ移動する。
オブジェクトXの方向にX,Y方向速度だけ移動させる。 ここで、このサブルーチン呼び出しの前後でオブジェクトXのDisplay Flagsの値は変わらない。
jsr $850B	オブジェクトXのグラフィックのみロックマンのほうを向く。
オブジェクトXのグラフィックがロックマンの方)を向くようにDisplay flagsのbit5の値がセットされる。 ここで、このサブルーチン呼び出しの前後でオブジェクトXの方向($420,x)の値は変わらない。
jsr $851A	オブジェクトXが向いている方向に(グラフィックの向きを変えずに)ブロックにめり込まないようにX方向速度だけ移動する。
基本的にはサブルーチン$EA3Fと同じ。 ただし、このサブルーチン呼び出しの前後でオブジェクトXのDisplay Flagsの値は変わらない。
jsr $8541	オブジェクトXが向いている方向にグラフィックの向きを変えずにX方向速度だけ移動する。
基本的にはサブルーチン$EA65と同じ。 ただし、このサブルーチン呼び出しの前後でオブジェクトXのDisplay Flagsの値は変わらない。

jsr $8526	オブジェクトXのグラフィックを左向きにする。
オブジェクトXのDisplay Flagsのbit5を0にする。
jsr $852F	オブジェクトXの方向を左右反転する。
オブジェクトXの方向(右向き01,左向き02)を反転させる。
jsr $8538	オブジェクトXの方向を上下反転する。
オブジェクトXの方向(下向き04,上向き08)を反転させる。

jsr $854D	放物線を描くようにオブジェクトXのX,Y方向速度をセットする。
Yレジスタに値(00または01)をセットして呼び出す。 オブジェクトXが放物線を描き、概ねロックマンのいるX座標に着地するようにX,Y方向速度をセットする(あまり正確な値はセットされない)。 ここで、Y方向速度は符号付き整数であり、Yレジスタの値が00で小ジャンプ、01で大ジャンプとなる。
jsr $8550	放物線を描くようにオブジェクトXのX,Y方向速度をセットする。
AレジスタにX方向距離、Yレジスタに値(00または01)をセットして呼び出す。 他はサブルーチン$854Dと同じ。
jsr $8592	放物線を描くようにオブジェクトXのX,Y方向速度をセットする。
$01にX方向距離、Yレジスタに値(00～03)をセットして呼び出す。 オブジェクトXが放物線を描き、X方向距離が$01離れた位置に着地するようにX,Y方向速度をセットする(上記のサブルーチンよりも正確)。 ここで、Y方向速度は符号付き整数であり、Yレジスタの値でジャンプの高さが決まる(01＞03＞00＞02の順に高い)。


ここからBNAK1E-1Fのサブルーチン
jsr $E8DE	オブジェクトXのグラフィックを右向きにし、右に移動する。
オブジェクトXのDisplay Flagsのbit5を1にし、X座標にX方向速度を加算する。
jsr $E8E6	オブジェクトXを右に移動する。
オブジェクトXのX座標にX方向速度を加算する。
jsr $E904	オブジェクトXのグラフィックを左向きにし、左に移動する。
オブジェクトXのDisplay Flagsのbit5を0にし、X座標からX方向速度を減算する。
jsr $E90C	オブジェクトXを左に移動する。
オブジェクトXのX座標からX方向速度を減算する。

jsr $E979	オブジェクトXを下に移動する。
オブジェクトXのY座標にY方向速度を減算する。
このサブルーチンでは、Y方向速度は符号付き整数として扱われる(負の値が下方向)。
jsr $E94A	オブジェクトXを上に移動する。
オブジェクトXのY座標からY方向速度を減算する。
このサブルーチンでは、Y方向速度は符号付き整数として扱われる(正の値が上方向)。
jsr $E968	オブジェクトXをY方向速度だけ移動させる(速度に重力加算有り)。
オブジェクトXをY方向速度だけ移動させる。
このサブルーチンでは、Y方向速度は符号付き整数として扱われる(正の値が上方向)。
また、速度から重力値が減算される。

jsr $E92A	オブジェクトXを下に移動する。
オブジェクトXのY座標からY方向速度を加算する。
jsr $E999	オブジェクトXを上に移動する。
オブジェクトXのY座標からY方向速度を減算する。
(実際のプログラムコードはサブルーチン$E94Aと全く同じもの)

jsr $EA1E	オブジェクトXのY方向速度をFF.00にセットする。
オブジェクトXのY方向速度(low,high)に00,FFをセットする。
jsr $EA29	オブジェクトXのY方向速度を01.00にセットする。
オブジェクトXのY方向速度(low,high)に00,01をセットする。
jsr $EA34	オブジェクトXのY方向速度をFF.C0にセットする。
オブジェクトXのY方向速度(low,high)にC0,FFをセットする。

jsr $E7B7	オブジェクトXをブロックにめり込まないようにY方向速度だけ移動させる(速度に重力加算有り)。
Yレジスタに適切な値をセットして呼び出す(実際に使用している箇所を参照してみて下さい)。
オブジェクトXをY方向速度だけブロックにめり込まないように移動させる。
このサブルーチンでは、Y方向速度は符号付き整数として扱われる(正の値が上方向)。 また、速度から重力値が減算される。
ブロックと接触した場合、キャリーフラグがセットされる。
jsr $EA3F	オブジェクトXが向いている方向にブロックにめり込まないようにX方向速度だけ移動する。
Yレジスタに適切な値をセットして呼び出す(実際に使用している箇所を参照してみて下さい)。
オブジェクトXの方向(右向き01,左向き02)にX方向速度だけブロックにめり込まないように移動させる。
また、オブジェクトXの方向が右ならば、Display Flagsのbit5を1、左ならば0にする。
ブロックと接触した場合、キャリーフラグがセットされる。
jsr $EA52	オブジェクトXが向いている方向にブロックにめり込まないようにY方向速度だけ移動する。
Yレジスタに適切な値をセットして呼び出す(実際に使用している箇所を参照してみて下さい)。
オブジェクトXの方向(下向き04,上向き08)にY方向速度だけブロックにめり込まないように移動させる。
ブロックと接触した場合、キャリーフラグがセットされる。

jsr $EA65	オブジェクトXが向いている方向にX方向速度だけ移動する。
オブジェクトXの方向(右向き01,左向き02)にX方向速度だけ移動させる。 また、オブジェクトXの方向が右ならば、Display Flagsのbit5を1、左ならば0にする。
jsr $EA86	オブジェクトXが向いている方向にY方向速度だけ移動する。
オブジェクトXの方向(下向き04,上向き08)にY方向速度だけ移動させる。

jsr $EA98	オブジェクトXのアニメーション番号をセットする。
Aレジスタにアニメーション番号をセットして呼び出す。
指定した値をオブジェクトXのアニメーション番号にセットし、 アニメーションフレーム・アニメーションタイマーを0クリアする。
jsr $EAA4	オブジェクトYのアニメーション番号をセット・X→Yに座標をコピーする。
Aレジスタにアニメーション番号をセットして呼び出す。
指定した値をオブジェクトYのアニメーション番号にセットし、 アニメーションフレーム・アニメーションタイマーを0クリアする。
また、オブジェクトXの座標(low,high)をオブジェクトYの座標にコピーし、オブジェクトYの以下のパラメータを0クリアする。

X座標(fraction)
Y座標(fraction)
Flash Counter
変数A～H

jsr $EAE9	オブジェクトYのアニメーション番号をセットする。
Aレジスタにアニメーション番号をセットして呼び出す。
指定した値をオブジェクトYのアニメーション番号にセットし、 アニメーションフレーム・アニメーションタイマーを0クリアする。
jsr $EAF5	オブジェクトYのアニメーション番号をセット・(Xの座標＋相対座標)をYの座標にセットする。
Aレジスタにアニメーション番号、$10に相対座標番号をセットして呼び出す。
